Rk;Name;Age;Tm;Lg;W;L;W-L%;ERA;G;GS;GF;CG;SHO;SV;IP;H;R;ER;HR;BB;IBB;SO;HBP;BK;WP;BF;ERA+;FIP;WHIP;H9;HR9;BB9;SO9;SO/W
1;Fernando Abad*;37;COL;NL;1;0;1;4.26;6;0;2;0;0;0;6.1;11;3;3;2;3;0;2;0;0;0;32;124;8.18;2.211;15.6;2.8;4.3;2.8;0.67
2;Andrew Abbott*;24;CIN;NL;5;2;0.714;2.1;9;9;0;0;0;0;55.2;33;13;13;8;18;0;57;0;0;0;213;226;4.08;0.916;5.3;1.3;2.9;9.2;3.17
3;Cory Abbott;27;WSN;NL;0;1;0;5.49;10;0;6;0;0;0;19.2;20;12;12;4;9;0;16;1;0;1;85;77;5.83;1.475;9.2;1.8;4.1;7.3;1.78
4;Albert Abreu;27;NYY;AL;2;2;0.5;4.14;33;0;13;0;0;0;41.1;34;26;19;6;21;1;46;3;0;2;182;103;4.69;1.331;7.4;1.3;4.6;10;2.19
5;Bryan Abreu;26;HOU;AL;3;2;0.6;2.72;47;0;11;0;0;2;46.1;34;17;14;6;19;0;69;3;0;1;192;155;3.42;1.144;6.6;1.2;3.7;13.4;3.63
6;Domingo Acevedo;29;OAK;AL;0;0;0;10.61;9;0;1;0;0;0;9.1;16;11;11;2;2;1;7;1;0;1;47;40;5.54;1.929;15.4;1.9;1.9;6.8;3.5
7;Garrett Acton;25;OAK;AL;0;0;0;12.71;6;0;3;0;0;0;5.2;9;8;8;3;5;2;5;1;0;0;32;34;11.58;2.471;14.3;4.8;7.9;7.9;1
8;Jason Adam;31;TBR;AL;2;2;0.5;2.68;42;0;18;0;0;11;40.1;26;15;12;4;16;0;50;9;0;0;170;154;3.96;1.041;5.8;0.9;3.6;11.2;3.13
9;Austin Adams;32;ARI;NL;0;1;0;6.28;20;0;1;0;0;0;14.1;13;11;10;1;6;0;18;4;0;2;66;69;3.78;1.326;8.2;0.6;3.8;11.3;3
10;Ty Adcock;26;SEA;AL;0;0;0;3.45;12;0;4;0;0;0;15.2;11;7;6;4;0;0;11;0;0;0;58;122;5.2;0.702;6.3;2.3;0;6.3;0
11;Joan Adon;24;WSN;NL;0;0;0;5.4;2;0;2;0;0;0;5;3;3;3;2;2;0;4;0;0;1;20;83;8.09;1;5.4;3.6;3.6;7.2;2
12;Keegan Akin*;28;BAL;AL;2;2;0.5;6.85;24;1;7;0;0;0;23.2;35;22;18;2;7;2;27;0;0;2;112;62;2.99;1.775;13.3;0.8;2.7;10.3;3.86
13;Hanser Alberto;30;CHW;AL;0;0;0;21.6;2;0;2;0;0;0;1.2;6;4;4;1;1;0;1;0;0;0;12;24;11.69;4.2;32.4;5.4;5.4;5.4;1
14;Jorge Alcala;27;MIN;AL;0;1;0;6.46;10;0;3;0;0;0;15.1;13;12;11;4;8;0;12;1;0;0;66;68;6.88;1.37;7.6;2.3;4.7;7;1.5
15;Sandy Alcantara;27;MIA;NL;3;9;0.25;4.7;20;20;0;1;1;0;126.1;126;69;66;14;36;0;106;4;0;3;532;92;4;1.282;9;1;2.6;7.6;2.94
16;Scott Alexander*;33;SFG;NL;6;0;1;3.04;31;1;6;0;0;1;26.2;21;11;9;1;6;1;15;1;0;3;107;143;3.44;1.013;7.1;0.3;2;5.1;2.5
17;Tyler Alexander*;28;DET;AL;2;1;0.667;4.5;25;1;8;0;0;0;44;44;25;22;8;5;0;44;2;0;0;181;96;4.13;1.114;9;1.6;1;9;8.8
18;Kolby Allard*;25;ATL;NL;0;1;0;6.57;4;3;1;0;0;0;12.1;16;9;9;2;4;0;13;0;0;1;56;70;4.26;1.622;11.7;1.5;2.9;9.5;3.25
19;Logan Allen*;24;CLE;AL;4;2;0.667;3.21;13;13;0;0;0;0;67.1;67;25;24;6;25;0;71;1;0;1;292;130;3.5;1.366;9;0.8;3.3;9.5;2.84
20;Yency Almonte;29;LAD;NL;3;1;0.75;4.65;42;0;4;0;0;0;40.2;36;24;21;5;16;1;39;3;0;2;172;96;4.37;1.279;8;1.1;3.5;8.6;2.44
21;José Alvarado*;28;PHI;NL;0;0;0;1.38;26;0;7;0;0;6;26;21;7;4;2;9;1;39;0;0;2;107;314;2.33;1.154;7.3;0.7;3.1;13.5;4.33
22;Adbert Alzolay;28;CHC;NL;1;4;0.2;2.51;37;0;19;0;0;9;43;35;15;12;3;7;0;48;3;1;0;168;179;2.66;0.977;7.3;0.6;1.5;10;6.86
23;Chase Anderson;35;TOT;MLB;0;4;0;6.08;14;12;2;0;0;1;60.2;70;41;41;14;20;0;44;6;0;0;268;82;6.12;1.484;10.4;2.1;3;6.5;2.2
24;Chase Anderson;35;TBR;AL;0;0;0;0;2;0;2;0;0;1;5;2;0;0;0;1;0;2;0;0;0;18;0;3.09;0.6;3.6;0;1.8;3.6;2
